2012-05-09 15:19:35,409 | [15] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SaveCommunicationPrinciple","Id":0,"Code":"COMM-5","Success":true,"Message":"Save Communication Principle Completed."};
2012-05-09 15:19:36,440 | [12] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"","CreateDateSt":"","ElapsedMilliseconds":867};
2012-05-09 15:19:47,558 | [15] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SchemeSearchAll","Name":"","Code":"","Status":"ALL","PrincipleCode":"","EffectiveDateSt":"","EffectiveTimeSt":"","ElapsedMilliseconds":981};
2012-05-09 15:21:31,373 | [13] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SaveScheme","Success":true,"Message":"Save Scheme Completed."};
2012-05-09 15:21:32,341 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SchemeSearchAll","Name":"","Code":"","Status":"ALL","PrincipleCode":"","EffectiveDateSt":"","EffectiveTimeSt":"","ElapsedMilliseconds":814};
2012-05-09 15:21:53,422 | [8] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"GenerationManageDeviceSearchAll","Type":"IceCube","GenerationNumber":-1,"HardwareVer":"ALL","MicFWVer":"ALL","ObdFWVer":"ALL","DeviceSN":"","EffectiveDateSt":""};
2012-05-09 15:21:56,217 | [11] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"GenerationManageDeviceSearchAll","Type":"IceCube","GenerationNumber":-1,"HardwareVer":"ALL","MicFWVer":"ALL","ObdFWVer":"ALL","DeviceSN":"","EffectiveDateSt":""};
2012-05-09 15:21:57,935 | [7] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"GenerationManageDeviceSearchAll","Type":"IceCube","GenerationNumber":-1,"HardwareVer":"ALL","MicFWVer":"ALL","ObdFWVer":"ALL","DeviceSN":"","EffectiveDateSt":""};
2012-05-09 15:22:47,438 | [8] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchDeployManagementBy","SchmCode":"","SchmName":"","DeployStatus":"ALL","EffectiveDateSt":"","GenNo":"-1","DeviceSN":""};
2012-05-09 15:23:50,010 | [8] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"getDeviceFromDeviceService","total":30};
2012-05-09 15:24:07,594 | [8] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SaveDeployment","Success":true,"Message":"Save Deployment Completed.","Id":4};
2012-05-09 15:24:09,312 | [8] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchDeployManagementBy","SchmCode":"","SchmName":"","DeployStatus":"ALL","EffectiveDateSt":"","GenNo":"-1","DeviceSN":""};
2012-05-09 15:24:17,213 | [17] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchDeployManagementBy","SchmCode":"","SchmName":"","DeployStatus":"ALL","EffectiveDateSt":"","GenNo":"-1","DeviceSN":""};
2012-05-09 15:29:48,770 | [13] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 15:29:48,786 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 15:32:03,848 | [16] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"","CreateDateSt":"","ElapsedMilliseconds":1202};
2012-05-09 15:36:23,649 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 15:36:24,149 | [18] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 16:42:47,063 | [23] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 16:42:47,094 | [27] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
