2012-03-29 11:35:53,815 | [16] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0013787 seconds.;
2012-03-29 11:35:57,637 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0026108 seconds.;
2012-03-29 11:36:05,140 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0021491 seconds.;
2012-03-29 11:37:28,081 | [5] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0014095 seconds.;
2012-03-29 11:38:27,670 | [16] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0015303 seconds.;
2012-03-29 11:40:18,418 | [9] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0013779 seconds.;
2012-03-29 14:36:29,610 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 2.7941716 seconds.;
2012-03-29 14:36:37,914 | [12] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0019234 seconds.;
2012-03-29 14:36:37,976 | [11] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0008483 seconds.;
2012-03-29 14:36:38,007 | [16] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0248726 seconds.;
2012-03-29 14:36:38,741 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0064356 seconds.;
2012-03-29 14:36:39,006 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0004821 seconds.;
2012-03-29 14:36:39,006 | [15] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0001824 seconds.;
2012-03-29 14:36:39,022 | [17] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0015092 seconds.;
2012-03-29 14:36:39,100 | [12] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0028497 seconds.;
2012-03-29 14:38:34,415 | [17] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0050685 seconds.;
2012-03-29 14:38:36,959 | [17] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0013907 seconds.;
2012-03-29 14:38:37,146 | [15] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0013508 seconds.;
2012-03-29 14:39:27,359 | [17] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0046439 seconds.;
2012-03-29 14:39:29,778 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0014293 seconds.;
2012-03-29 14:39:30,371 | [17] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0004069 seconds.;
2012-03-29 14:39:30,387 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0005588 seconds.;
2012-03-29 14:39:30,387 | [11] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0001891 seconds.;
2012-03-29 14:39:30,636 | [15] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.001452 seconds.;
2012-03-29 14:39:30,652 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0001365 seconds.;
2012-03-29 14:39:30,652 | [17] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0001571 seconds.;
2012-03-29 14:39:34,679 | [17] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0012932 seconds.;
2012-03-29 14:41:06,488 | [11] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0082655 seconds.;
2012-03-29 14:41:08,954 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0033301 seconds.;
2012-03-29 14:41:09,578 | [15] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.000385 seconds.;
2012-03-29 14:41:09,594 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0001812 seconds.;
2012-03-29 14:41:09,609 | [11] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0001893 seconds.;
2012-03-29 14:41:09,797 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0013782 seconds.;
2012-03-29 14:41:09,859 | [15] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0004939 seconds.;
2012-03-29 14:41:09,859 | [17] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0001384 seconds.;
2012-03-29 14:43:27,229 | [17] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0014495 seconds.;
2012-03-29 14:45:14,521 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0055294 seconds.;
