2012-05-08 12:04:16,457 | [23] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 12:04:16,488 | [23] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 14:03:54,390 | [4] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 14:06:15,021 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 2.5212044 seconds.;
2012-05-08 14:06:17,646 | [26] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 14:06:18,474 | [31] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 14:06:18,505 | [26] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 14:06:18,537 | [4] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 14:06:18,583 | [28] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 14:06:18,615 | [29] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 14:06:18,646 | [27] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 14:12:34,394 | [4] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 14:14:32,659 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 3.1276127 seconds.;
2012-05-08 14:14:40,985 | [30] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 14:14:44,078 | [4] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 14:14:47,296 | [25] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 14:14:51,076 | [23] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 14:14:55,122 | [24] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 14:14:57,528 | [21] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 14:15:01,292 | [25] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0016926 seconds.;
2012-05-08 14:15:01,355 | [15] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 14:15:02,042 | [23] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0004855 seconds.;
2012-05-08 14:15:02,214 | [15] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.000394 seconds.;
2012-05-08 14:15:02,245 | [21] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0047221 seconds.;
2012-05-08 14:15:02,261 | [30] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0012483 seconds.;
2012-05-08 14:15:06,838 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0003567 seconds.;
2012-05-08 14:15:06,853 | [24] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0004185 seconds.;
2012-05-08 14:19:08,614 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 3.1894758 seconds.;
2012-05-08 14:19:50,008 | [25] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0042972 seconds.;
2012-05-08 14:19:50,071 | [9] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0021787 seconds.;
2012-05-08 14:19:50,071 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.000353 seconds.;
2012-05-08 14:19:50,086 | [15] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.000353 seconds.;
2012-05-08 14:26:57,115 | [29] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0005126 seconds.;
2012-05-08 15:04:19,706 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.9291693 seconds.;
2012-05-08 15:04:23,502 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0053072 seconds.;
2012-05-08 15:04:24,830 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0011769 seconds.;
2012-05-08 15:04:25,751 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0014582 seconds.;
2012-05-08 15:04:26,454 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0005422 seconds.;
2012-05-08 15:04:27,126 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0003357 seconds.;
2012-05-08 15:04:27,829 | [10] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0004746 seconds.;
2012-05-08 15:04:28,563 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0004091 seconds.;
2012-05-08 15:10:07,914 | [10] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 2.9718113 seconds.;
2012-05-08 15:10:16,177 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0017026 seconds.;
2012-05-08 15:10:16,208 | [10] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0054913 seconds.;
2012-05-08 15:22:57,261 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 8.8086828 seconds.;
2012-05-08 15:30:08,178 | [8] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 1.8103373 seconds.;
2012-05-08 15:34:57,372 | [10] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 2.2582983 seconds.;
