2012-07-18 11:05:08,478 | [16] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-18T11:05:04.5718373+07:00","method":"SearchQuickDeployOrderBy","type":"ALL","deployStatus":"ALL","end":"2012-07-18T11:05:05.3531273+07:00","duration":"00:00:00.7812900"};
2012-07-18 11:05:08,478 | [5] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-18T11:05:04.5874631+07:00","method":"SearchQuickDeployOrderBy","type":"ALL","deployStatus":"ALL","end":"2012-07-18T11:05:05.4000047+07:00","duration":"00:00:00.8125416"};
2012-07-18 11:05:16,213 | [17] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-18T11:05:14.4942203+07:00","method":"SearchQuickDeployOrderBy","type":"ALL","deployStatus":"ALL","end":"2012-07-18T11:05:14.9161169+07:00","duration":"00:00:00.4218966"};
2012-07-18 11:05:18,791 | [20] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-18T11:05:17.1193547+07:00","method":"SearchQuickDeployOrderBy","type":"ALL","deployStatus":"ALL","end":"2012-07-18T11:05:17.4787481+07:00","duration":"00:00:00.3593934"};
2012-07-18 11:05:27,588 | [20] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-18T11:05:23.8071971+07:00","method":"SearchQuickDeployOrderBy","type":"ALL","deployStatus":"Deploying","end":"2012-07-18T11:05:24.5572355+07:00","duration":"00:00:00.7500384"};
2012-07-18 11:05:27,823 | [5] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-18T11:05:23.8071971+07:00","method":"SearchQuickDeployOrderBy","type":"ALL","deployStatus":"Deploying","end":"2012-07-18T11:05:24.6197387+07:00","duration":"00:00:00.8125416"};
2012-07-18 11:05:37,182 | [5] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-18T11:05:34.2764831+07:00","method":"SearchQuickDeployOrderBy","type":"ALL","deployStatus":"Deployed","end":"2012-07-18T11:05:34.5889991+07:00","duration":"00:00:00.3125160"};
2012-07-18 11:05:37,620 | [17] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-18T11:05:34.2764831+07:00","method":"SearchQuickDeployOrderBy","type":"ALL","deployStatus":"Deployed","end":"2012-07-18T11:05:34.9483925+07:00","duration":"00:00:00.6719094"};
2012-07-18 11:05:45,948 | [5] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-18T11:05:42.5425313+07:00","method":"SearchQuickDeployOrderBy","type":"ALL","deployStatus":"Deployed","end":"2012-07-18T11:05:43.3706987+07:00","duration":"00:00:00.8281674"};
2012-07-18 11:05:45,948 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-18T11:05:42.5425313+07:00","method":"SearchQuickDeployOrderBy","type":"ALL","deployStatus":"Deployed","end":"2012-07-18T11:05:42.9331763+07:00","duration":"00:00:00.3906450"};
