2012-07-17 14:40:36,222 | [11] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T14:40:18.4250228+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":15362,"end":"2012-07-17T14:40:33.7449795+07:00","duration":"00:00:15.3199567"};
2012-07-17 14:41:01,969 | [20] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T14:40:51.901388+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":7381,"end":"2012-07-17T14:40:59.2574608+07:00","duration":"00:00:07.3560728"};
2012-07-17 14:41:14,109 | [22] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T14:41:07.2057598+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":4404,"end":"2012-07-17T14:41:11.6007016+07:00","duration":"00:00:04.3949418"};
2012-07-17 14:46:15,308 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T14:44:58.4243897+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":72864,"end":"2012-07-17T14:46:11.9884217+07:00","duration":"00:01:13.5640320"};
2012-07-17 14:46:25,579 | [16] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T14:46:20.1864473+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":2859,"end":"2012-07-17T14:46:23.0541977+07:00","duration":"00:00:02.8677504"};
2012-07-17 14:46:46,448 | [18] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T14:46:41.7413321+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":2135,"end":"2012-07-17T14:46:43.8921449+07:00","duration":"00:00:02.1508128"};
2012-07-17 14:47:06,849 | [11] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T14:46:55.8774713+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":8418,"end":"2012-07-17T14:47:04.3560377+07:00","duration":"00:00:08.4785664"};
2012-07-17 15:02:50,442 | [19] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T15:02:02.582762+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":43950,"end":"2012-07-17T15:02:47.3900231+07:00","duration":"00:00:44.8072611"};
2012-07-17 15:03:35,421 | [18] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T15:03:28.7397896+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":4144,"end":"2012-07-17T15:03:32.8825534+07:00","duration":"00:00:04.1427638"};
2012-07-17 15:04:14,896 | [16] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T15:04:02.8987295+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":9474,"end":"2012-07-17T15:04:12.3568821+07:00","duration":"00:00:09.4581526"};
2012-07-17 15:05:05,506 | [18] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T15:04:55.6119589+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":7312,"end":"2012-07-17T15:05:02.9665685+07:00","duration":"00:00:07.3546096"};
